,source,mor,target
1343,BIRC5,-1,CASP9
1346,EGFR,1,GRB2
1347,CASP3,1,ROCK1
1348,TRAF6,1,TAB2
1350,TAB1,1,MAP3K7
1351,BIRC3,-1,CASP9
1352,CASP3,-1,BIRC6
1354,PINK1,1,BECN1
1355,WDFY3,1,ATG12
1357,TAB2,1,MAP3K7
1359,DAXX,1,MAP3K5
1360,FAS,1,DAXX
1363,WDFY3,1,SQSTM1
1364,BCL2L2,-1,BAK1
1365,CASP7,-1,PARP1
1367,ARNT_HIF1A,1,GAPDH
1368,EGF,1,EGFR
1369,BCL2L2,-1,BAX
1370,VMP1,1,BECN1
1371,ARNT_HIF1A,1,CP
1374,ARNT_HIF1A,1,EPO
1375,RPS6KA3,-1,TSC2
1377,RPS6KA1,-1,TSC2
1378,MAPK3,-1,TSC2
1383,IL1A,1,IL1R1
1386,AMBRA1,1,BECN1
1391,RAB7A,1,FYCO1
1392,TRAF2,1,IKBKB
1394,CCNH_CDK7_MNAT1,1,RARA
1396,CCNH_CDK7_MNAT1,1,RARG
1397,SUPT20H,1,ATG9A
1399,RAB33B,1,ATG16L1
1401,BAK1,1,HTRA2
1404,CASP2,-1,GOLGA3
1409,BID,-1,BCL2L2
1410,BAD,-1,BCL2L2
1411,BBC3,-1,BCL2L2
1412,BBC3,-1,BCL2L2
1413,BCL2L11,-1,BCL2L2
1414,BCL2L11,-1,BCL2
1415,BID,-1,BCL2L1
1417,BCL2L11,-1,BCL2L1
1419,BCL2L11,1,BAK1
1420,BCL2L1,-1,BAK1
1425,PIDD1,1,RIPK1
1426,PIDD1,1,CRADD
1427,CRADD,1,RIPK1
1428,CRADD,1,CASP2
1430,TRAF2,1,RIPK1
1431,TRADD,1,RIPK1
1433,TP53,-1,HSP90AB1
1434,TP53,-1,HSPA8
1439,TP53,1,IGFBP3
1442,HMGB1,-1,BECN1
1444,CDK1,-1,PIK3C3
1445,MCL1,-1,BECN1
1446,CDK5,-1,PIK3C3
1450,DYNLL1,-1,AMBRA1
1452,ULK1,1,AMBRA1
1453,MAPK1,1,RPTOR
1455,FBXO5,-1,ANAPC11
1459,EVI5,1,FBXO5
1460,BTRC,-1,FBXO5
1467,OS9,1,EGLN1
1468,OS9,1,EGLN3
1472,VHL,-1,HIF1A
1475,BRCA1,1,PALB2
1480,EP300,1,MYB
1481,CREBBP,1,MYB
1485,ATM,1,TP53BP1
1486,PAXIP1,1,ATM
1489,TP53BP1,1,PAXIP1
1490,PAXIP1,1,TP53BP1
1491,PER1,1,ATM
1494,RAD18_UBE2B,1,PCNA
1496,PRKDC_XRCC6,1,AKT1
1499,MRE11_NBN_RAD50,1,RECQL5
1500,GSK3B,1,MDM2
1504,RORC,1,BMAL1
1506,ARNT_HIF1A,1,VEGFA
1508,ARNT_HIF1A,1,CA9
1509,NR1D1,-1,BMAL1
1513,PER3,-1,BMAL1
1514,CAND1,-1,CUL1
1515,UBE2M,1,CUL1
1530,SIRT6,-1,RELA
1531,DKK1,-1,LRP5
1532,WNT5A,1,FZD5
1534,COPS2_COPS3_COPS4_COPS5_COPS6_COPS7A_COPS7B_GPS1,1,USP15
1536,COPS5,1,HIF1A
1537,COPS5,1,MDM2
1538,COPS5,1,JUN
1539,COPS5,-1,CDKN1B
1540,NKRF,-1,NFKB2
1541,NKRF,-1,NFKB1
1542,NKRF,-1,RELA
1543,NKRF,-1,REL
1545,TWIST1,-1,CDH1
1546,TWIST1,-1,RELA
1547,TWIST1,1,AKT2
1551,FRAT2,-1,GSK3B
1555,F2,1,F13A1
1556,CSNK2A1,1,CDH1
1557,CSNK2A1,1,CTNNB1
1561,CSNK2A1_CSNK2B,1,CTNNB1
1562,MSH2,1,ATR
1563,ATM,1,TRAF6
1565,PARP1,1,CHD4
1567,ATM,-1,RPA1
1571,CCDC88C,-1,DVL1
1575,PARP1,-1,TOP1
1577,KAT5,1,AR
1578,KAT5,1,MYC
1579,PML,1,KAT5
1583,MTNR1A,1,GNAI3
1588,CDK11A,-1,EIF3F
1589,CDK11B,-1,EIF3F
1595,PPM1D,-1,H2AX
1597,ABL1,-1,TERT
1598,TP53,-1,MIR17HG
1600,PRKACA,1,H3C12
1604,SMARCB1,1,MYC
1605,RB1,1,HIF1A
1607,TRIM28,-1,STAT3
1609,RB1,-1,E2F1
1612,E2F6,-1,UXT
1619,PRKDC,1,DCLRE1C
1623,CD28,1,GRB2
1625,CD86,1,CD28
1627,CD80,1,CD28
1628,CSNK1A1,-1,CARD11
1629,BCL10_CARD11_MALT1,1,IKBKB
1630,ANXA1,1,FPR2
1636,EP300,-1,HDAC6
1638,HDAC6,1,CTTN
1639,HDAC6,-1,TUBA4B
1640,MAPK8,1,ELK4
1641,MAPK7,1,ELK4
1644,TRIM8,-1,SOCS1
1645,RECQL5,-1,RAD51
1650,DDX5,1,HDAC1
1654,NFKBIZ,-1,STAT3
1674,ASH1L,1,H3C12
1676,PLK1,-1,PKMYT1
1678,TNFSF14,1,LTBR
1681,CD40LG,1,CD40
1683,LTA,1,TNFRSF1A
1685,LTB,1,LTBR
1687,MAP3K14,1,STAT3
1688,PRKDC,1,TP53
1689,BCL3,1,NFKB2
1691,STAT3,1,DNMT1
1692,BCL3,1,NFKB1
1697,STAT3,1,PIM1
1704,CTNNB1,1,FOXO1
1705,NRG1,1,ERBB2
1706,CD40,1,TRAF2
1707,ERBB3,1,GRB7
1713,FOXO1,1,G6PC1
1716,CREBBP,1,NFKB1
1723,KL,-1,IGF1R
1724,CTNNB1,1,FOXO4
1726,CTNNB1,1,FOXO3
1727,EP300,1,H3C12
1728,AKT1,1,EP300
1729,CHUK,1,CREBBP
1732,MIR22HG,-1,ESR1
1739,NDP,1,FZD4
1740,NOLC1,-1,CSNK2A1
1741,ULK1,1,BECN1
1742,BECN1,1,PIK3C3
1745,BAK1,1,BAX
1746,PRMT5,-1,H4C2
1754,SIRT1,1,SUV39H1
1755,MTA1,-1,SIX3
1756,SIX3,-1,WNT1
1758,SIAH1,-1,CTNNB1
1763,CTBP1,-1,TCF7L2
1767,H2AX,1,TP53BP1
1769,MAP3K7,1,MAPK8
1771,TRAF2,1,MAP3K7
1772,HSPB1,1,SP1
1778,PRKD1,1,HSPB1
1780,SMURF2,-1,PRICKLE1
1782,RANBP2,1,TCF7L2
1788,DIXDC1,-1,AXIN1
1790,GSK3A,1,LRP6
1791,DIXDC1,-1,MAP3K4
1792,SETD7,1,TAF10
1793,SETD7,1,TP53
1794,DFFA,-1,DFFB
1795,RCOR1,1,KDM1A
1796,NKIRAS1,1,NFKBIA
1798,E2F1,1,RAD51
1799,BACH1,-1,NFE2L2
1801,NKIRAS2,1,NFKBIB
1803,TP53,1,SIAH1
1804,MAPK3,-1,BCL2L11
1805,MAPK1,-1,BCL2L11
1806,DDIT3,1,BCL2L11
1807,DDIT3,1,BCL2L11
1811,DDIT3,1,FOSL1
1812,DDIT3,1,FOSL1
1813,CASP8,1,CASP7
1815,CASP8,1,BID
1818,NGF,1,NTRK1
1820,CEBPB,1,RUNX2
1821,CASP9,1,CASP7
1822,MAPK3,1,CEBPB
1825,BNIP3,-1,RHEB
1829,CSNK1A1,1,CREB1
